Size;HybridKeyComparisons;MergeSortKeyComparisons;HybridTime;MergeSortTime
1000;9343;8705;0,000110;0,000138
1100;10525;9737;0,000122;0,000153
1200;11735;10781;0,000133;0,000168
1300;13015;11837;0,000144;0,000183
1400;14318;12897;0,000155;0,000199
1500;14877;13967;0,000177;0,000213
1600;15807;15036;0,000193;0,000231
1700;16991;16121;0,000205;0,000246
1800;18206;17212;0,000218;0,000260
1900;19418;18314;0,000229;0,000278
2000;20688;19413;0,000242;0,000294
2100;21963;20527;0,000255;0,000312
2200;23230;21667;0,000267;0,000329
2300;24547;22818;0,000279;0,000341
2400;25920;23969;0,000293;0,000364
2500;27261;25114;0,000304;0,000378
2600;28620;26261;0,000318;0,000395
2700;30026;27423;0,000330;0,000413
2800;31443;28576;0,000342;0,000429
2900;32121;29751;0,000365;0,000445
3000;32726;30898;0,000387;0,000461
3100;33515;32081;0,000406;0,000477
3200;34745;33283;0,000421;0,000496
3300;36079;34455;0,000432;0,000512
3400;37353;35649;0,000448;0,000542
3500;38656;36837;0,000471;0,000546
3600;39964;38037;0,000472;0,000559
3700;41320;39227;0,000487;0,000581
3800;42672;40427;0,000501;0,000598
3900;43998;41608;0,000514;0,000617
4000;45374;42816;0,000528;0,000632
4100;46715;44022;0,000538;0,000648
4200;48120;45260;0,000554;0,000669
4300;49508;46513;0,000567;0,000686
4400;50939;47735;0,000582;0,000706
4500;52311;48986;0,000595;0,000722
4600;53705;50235;0,000606;0,000733
4700;55144;51473;0,000620;0,000753
4800;56601;52739;0,000632;0,000771
4900;58018;53986;0,000647;0,000791
5000;59469;55212;0,000660;0,000807
5100;60944;56473;0,000673;0,000822
5200;62421;57734;0,000686;0,000841
5300;63976;58996;0,000699;0,000860
5400;65433;60261;0,000712;0,000882
5500;66928;61517;0,000725;0,000899
5600;68428;62779;0,000738;0,000912
5700;69342;64042;0,000760;0,000931
5800;70024;65304;0,000787;0,000946
5900;70691;66584;0,000809;0,000963
6000;71400;67837;0,000832;0,000979
6100;72065;69107;0,000852;0,000991
6200;73185;70369;0,000870;0,001012
6300;74549;71662;0,000886;0,001032
6400;75956;72952;0,000901;0,001051
6500;77366;74234;0,000917;0,001070
6600;78767;75524;0,000927;0,001084
6700;80140;76815;0,000943;0,001102
6800;81533;78108;0,000957;0,001119
6900;82957;79406;0,000971;0,001134
7000;84334;80684;0,000984;0,001152
7100;85768;81968;0,000997;0,001164
7200;87181;83261;0,001009;0,001179
7300;88617;84546;0,001024;0,001203
7400;90017;85850;0,001043;0,001224
7500;91520;87162;0,001055;0,001244
7600;92933;88445;0,001067;0,001260
7700;94384;89740;0,001080;0,001276
7800;95853;91050;0,001095;0,001296
7900;97278;92327;0,001113;0,001315
8000;98740;93651;0,001126;0,001332
8100;100170;94927;0,001138;0,001345
8200;101627;96252;0,001150;0,001358
8300;103118;97566;0,001168;0,001385
8400;104609;98918;0,001184;0,001406
8500;106055;100268;0,001194;0,001429
8600;107591;101587;0,001211;0,001445
8700;109104;102952;0,001222;0,001459
8800;110590;104307;0,001236;0,001480
8900;112080;105632;0,001250;0,001502
9000;113581;106976;0,001267;0,001519
9100;115063;108312;0,001282;0,001528
9200;116619;109677;0,001291;0,001544
9300;118117;110996;0,001304;0,001563
9400;119731;112353;0,001322;0,001583
9500;121235;113710;0,001333;0,001605
9600;122811;115031;0,001345;0,001623
9700;124352;116412;0,001361;0,001641
9800;125876;117753;0,001376;0,001664
9900;127445;119100;0,001390;0,001681
10000;129024;120442;0,001404;0,001693
10100;130569;121797;0,001414;0,001704
10200;132141;123151;0,001425;0,001718
10300;133621;124485;0,001440;0,001743
10400;135281;125862;0,001461;0,001767
10500;136903;127205;0,001470;0,001789
10600;138439;128581;0,001483;0,001806
10700;140109;129959;0,001498;0,001833
10800;141701;131298;0,001515;0,001849
10900;143252;132680;0,001527;0,001892
11000;144867;134031;0,001623;0,001882
