Size,KeyComparisons
148800,2484687
148900,2487518
149000,2489337
149100,2491744
149200,2493060
149300,2494671
149400,2498229
149500,2499251
149600,2500506
149700,2502810
149800,2505500
149900,2506646
150000,2509004
150100,2510549
150200,2512965
150300,2514923
150400,2516510
150500,2518054
150600,2520142
150700,2522747
150800,2524331
150900,2526049
151000,2527984
151100,2529801
151200,2532215
151300,2534030
151400,2535858
151500,2538269
151600,2540223
151700,2542159
151800,2543609
151900,2545738
152000,2547279
152100,2549895
152200,2551192
152300,2553613
152400,2555671
152500,2557254
152600,2559403
152700,2561156
152800,2563311
152900,2565163
153000,2567249
153100,2568925
153200,2571398
153300,2573161
153400,2574831
153500,2576760
153600,2578667
153700,2580369
153800,2582695
