Size,KeyComparisons
1000,9358
1100,10534
1200,11760
1300,12874
1400,13513
1500,14614
1600,15819
1700,16976
1800,18184
1900,19442
2000,20687
2100,21935
2200,23209
2300,24528
2400,25916
2500,27199
2600,28350
2700,29112
2800,29801
2900,30936
3000,32272
3100,33487
3200,34738
3300,36089
3400,37365
3500,38627
3600,39961
3700,41289
3800,42622
3900,44063
4000,45393
4100,46705
4200,48088
4300,49485
4400,50884
4500,52394
4600,53760
4700,55128
4800,56632
4900,58013
5000,59438
5100,60974
5200,61886
5300,62645
5400,63545
5500,64402
5600,65190
5700,66431
5800,67791
5900,69115
6000,70445
6100,71844
6200,73230
6300,74539
6400,75945
6500,77337
6600,78726
6700,80247
6800,81594
6900,82895
7000,84301
7100,85662
7200,87224
7300,88600
7400,90067
7500,91529
7600,92930
7700,94442
7800,95882
7900,97251
8000,98659
8100,100140
8200,101697
8300,103038
8400,104707
8500,106112
8600,107774
8700,109165
8800,110615
8900,112019
9000,113546
9100,115117
9200,116745
9300,118159
9400,119644
9500,121185
9600,122811
9700,124224
9800,125870
9900,127437
10000,129034
10100,130542
10200,131998
10300,133218
10400,134129
10500,135260
10600,136004
10700,136990
10800,137931
10900,138827
11000,139785
11100,140701
11200,141619
11300,142760
11400,144126
11500,145650
11600,147061
11700,148563
11800,149939
11900,151389
12000,153018
12100,154288
12200,155790
12300,157166
12400,158800
12500,160321
12600,161705
12700,163195
12800,164633
12900,166244
13000,167673
13100,169178
13200,170740
13300,172282
13400,173684
13500,175107
13600,176573
13700,177995
13800,179583
13900,181084
14000,182681
14100,184141
14200,185682
14300,187203
14400,188611
14500,190243
14600,191752
14700,193375
14800,194844
14900,196344
15000,197880
15100,199452
15200,201082
15300,202605
15400,204129
15500,205730
15600,207237
15700,208729
15800,210469
15900,211759
16000,213461
16100,215081
16200,216561
16300,218117
16400,219698
16500,221227
16600,222810
16700,224546
16800,225798
16900,227554
17000,229284
17100,230648
17200,232518
17300,234025
17400,235567
17500,237245
17600,238864
17700,240453
17800,242125
17900,243637
18000,245213
18100,246962
18200,248530
18300,250025
18400,251754
18500,253402
18600,254853
18700,256525
18800,258283
18900,259921
19000,261432
19100,263018
19200,264869
19300,266623
19400,267912
19500,269815
19600,271438
19700,272969
19800,274554
19900,276328
20000,277867
20100,279704
20200,281292
20300,282821
20400,284666
20500,286062
20600,287121
20700,287933
20800,289389
20900,290248
21000,291244
21100,292219
21200,293273
21300,294237
21400,295331
21500,296364
21600,297413
21700,298343
21800,299464
21900,300660
22000,301413
22100,302603
22200,303642
22300,304394
22400,305692
22500,306611
22600,307933
22700,309693
22800,311210
22900,312586
23000,314238
23100,315999
23200,317274
23300,318854
23400,320453
23500,322017
23600,323571
23700,325103
23800,326786
23900,328219
24000,329782
24100,331377
24200,333032
24300,334314
24400,335998
24500,337492
24600,339034
24700,340654
24800,342245
24900,343820
25000,345331
25100,347109
25200,348577
25300,350157
25400,351760
25500,353320
25600,355034
25700,356440
25800,358029
25900,359940
26000,361381
26100,362757
26200,364351
26300,366216
26400,367762
26500,369343
26600,371045
26700,372561
26800,374166
26900,375694
27000,377308
27100,378871
27200,380428
27300,382043
27400,383684
27500,385336
27600,386884
27700,388660
27800,390036
27900,391667
28000,393253
28100,395003
28200,396489
28300,398134
28400,399731
28500,401277
28600,402856
28700,404465
28800,406088
28900,407602
29000,409556
29100,411136
29200,412777
29300,414410
29400,416136
29500,417765
29600,419349
29700,421033
29800,422650
29900,424287
30000,425892
30100,427566
30200,429447
30300,431022
30400,432588
30500,434301
30600,435755
30700,437615
30800,439101
30900,440677
31000,442421
31100,444111
31200,445607
31300,447046
31400,448922
31500,450747
31600,452340
31700,453821
31800,455589
31900,457044
32000,458821
32100,460541
32200,462150
32300,463809
32400,465592
32500,467101
32600,468733
32700,470381
32800,472053
32900,473815
33000,475279
33100,477134
33200,478767
33300,480588
33400,482200
33500,484240
33600,485550
33700,487543
33800,489076
33900,490736
34000,492415
34100,494112
34200,495831
34300,497744
34400,499433
34500,500973
34600,502587
34700,504246
34800,505935
34900,507488
35000,509417
35100,511333
35200,512927
35300,514669
35400,516274
35500,517920
35600,519452
35700,521390
35800,523152
35900,524442
36000,526371
36100,527896
36200,529843
36300,531660
36400,533325
36500,534750
36600,536433
36700,538407
36800,540181
36900,541811
37000,543417
37100,545120
37200,546898
37300,548996
37400,550583
37500,552045
37600,553742
37700,555857
37800,557508
37900,559066
38000,561108
38100,562571
38200,564619
38300,565882
38400,568380
38500,569809
38600,571363
38700,573252
38800,575121
38900,576545
39000,578685
39100,580055
39200,581544
39300,583784
39400,585535
39500,587233
39600,588797
39700,590384
39800,592128
39900,594033
40000,595870
40100,597730
40200,599336
40300,601182
40400,602988
40500,604768
40600,606317
40700,607981
40800,609902
40900,611590
41000,612774
41100,614124
41200,615421
41300,616681
41400,617641
41500,619045
41600,619857
41700,620944
41800,622062
41900,623260
42000,624144
42100,625666
42200,626687
42300,627763
42400,629230
42500,630088
42600,631109
42700,632313
42800,633632
42900,634618
43000,635732
43100,636657
43200,638050
43300,638741
43400,640155
43500,641407
43600,642520
43700,643524
43800,644912
43900,645812
44000,647026
44100,648242
44200,649313
44300,650534
44400,651518
44500,652594
44600,653746
44700,655007
44800,655976
44900,657091
45000,658342
45100,659632
45200,661416
45300,663078
45400,664711
45500,666366
45600,667834
45700,669427
45800,671205
45900,672829
46000,674431
46100,676258
46200,677723
46300,679491
46400,681208
46500,682692
46600,684584
46700,686048
46800,687837
46900,689159
47000,691056
47100,692700
47200,694262
47300,695751
47400,697510
47500,699083
47600,700753
47700,702499
47800,704119
47900,705715
48000,707441
48100,709316
48200,710787
48300,712337
48400,713820
48500,715573
48600,717368
48700,718920
48800,720587
48900,722278
49000,724009
49100,725320
49200,727318
49300,729151
49400,730883
49500,732436
49600,734068
49700,735609
49800,737325
49900,739124
50000,740689
50100,742618
50200,744233
50300,745554
50400,747723
50500,749341
50600,751070
50700,752774
50800,754222
50900,755961
51000,757607
51100,759656
51200,761033
51300,762682
51400,764643
51500,766091
51600,767955
51700,769689
51800,771015
51900,773139
52000,774715
52100,776406
52200,778102
52300,779938
52400,781445
52500,783245
52600,784784
52700,786183
52800,788491
52900,789998
53000,791648
53100,793375
53200,794821
53300,796685
53400,798244
53500,800096
53600,801968
53700,803666
53800,805233
53900,807158
54000,808606
54100,810123
54200,812081
54300,813769
