InputSize,S,KeyComparisons
100,1,543
100,6,1116
100,11,1295
100,16,1131
100,21,1546
100,26,1768
100,31,1877
100,36,1902
100,41,1934
100,46,1813
100,51,1807
100,56,2065
100,61,2231
100,66,1810
100,71,2091
100,76,1918
100,81,2183
100,86,2439
100,91,1981
100,96,2187
1000,1,8716
1000,6,24451
1000,11,31721
1000,16,36693
1000,21,42477
1000,26,46273
1000,31,60542
1000,36,64041
1000,41,68565
1000,46,77586
1000,51,53945
1000,56,70028
1000,61,72705
1000,66,91012
1000,71,95330
1000,76,80737
1000,81,95142
1000,86,86939
1000,91,87388
1000,96,102386
5000,1,55252
5000,6,172891
5000,11,245674
5000,16,292256
5000,21,411031
5000,26,433160
5000,31,426154
5000,36,417305
5000,41,662150
5000,46,636421
5000,51,606221
5000,56,722847
5000,61,596030
5000,66,610801
5000,71,594755
5000,76,543896
5000,81,889667
5000,86,1011192
5000,91,1229751
5000,96,1073804
10000,1,120449
10000,6,410261
10000,11,643526
10000,16,641908
10000,21,1112976
10000,26,947988
10000,31,1118459
10000,36,1058645
10000,41,1553901
10000,46,1698930
10000,51,1284903
10000,56,1715134
10000,61,1595426
10000,66,1425303
10000,71,1899690
10000,76,1510748
10000,81,2456468
10000,86,2428365
10000,91,2611618
10000,96,2312905
50000,1,718029
50000,6,2644115
50000,11,3113494
50000,16,5321324
50000,21,5179933
50000,26,8344413
50000,31,7736564
50000,36,9223190
50000,41,7818044
50000,46,8786766
50000,51,15085652
50000,56,14561243
50000,61,15363442
50000,66,14018300
50000,71,14678178
50000,76,15175218
50000,81,14082348
50000,86,13775288
50000,91,14923832
50000,96,12928349
