InputSize,S,AverageComparisons,AverageTime
100,1,543,0.000000
100,2,528,0.000000
100,3,507,0.000000
100,4,502,0.000000
100,5,500,0.000000
100,6,504,0.000000
100,7,496,0.000000
100,8,507,0.000000
100,9,516,0.000000
100,10,498,0.000000
100,11,499,0.000000
100,12,532,0.000000
100,13,588,0.005000
100,14,572,0.000000
100,15,583,0.000000
100,16,596,0.000000
100,17,559,0.000000
100,18,588,0.000000
100,19,549,0.000000
100,20,574,0.000000
100,21,575,0.000000
100,22,581,0.000000
100,23,586,0.000000
100,24,576,0.000000
100,25,765,0.000000
100,26,772,0.000000
100,27,792,0.000000
100,28,780,0.000000
100,29,814,0.000000
100,30,810,0.000000
100,31,838,0.000000
100,32,797,0.000000
100,33,738,0.000000
100,34,774,0.000000
100,35,780,0.000000
100,36,797,0.000000
100,37,803,0.000000
100,38,778,0.000000
100,39,791,0.000000
100,40,812,0.000000
100,41,809,0.000000
100,42,818,0.000000
100,43,784,0.000000
100,44,776,0.000000
100,45,785,0.000000
100,46,773,0.000000
100,47,766,0.000000
100,48,828,0.000000
100,49,775,0.000000
100,50,1198,0.000000
100,51,1240,0.000000
100,52,1348,0.000000
100,53,1271,0.000000
100,54,1376,0.000000
100,55,1405,0.000000
100,56,1289,0.000000
100,57,1308,0.000000
100,58,1253,0.000000
100,59,1276,0.000000
100,60,1332,0.000000
100,61,1305,0.000000
100,62,1313,0.000000
100,63,1307,0.000000
100,64,1412,0.000000
100,65,1360,0.000000
100,66,1333,0.000000
100,67,1258,0.000000
100,68,1415,0.000000
100,69,1391,0.000000
100,70,1297,0.000000
100,71,1367,0.000000
100,72,1359,0.000000
100,73,1312,0.000000
100,74,1298,0.000000
100,75,1387,0.000000
100,76,1341,0.000000
100,77,1337,0.000000
100,78,1297,0.000000
100,79,1268,0.000000
100,80,1301,0.000000
100,81,1312,0.000000
100,82,1322,0.000000
100,83,1287,0.000000
100,84,1205,0.000000
100,85,1312,0.000000
100,86,1286,0.000000
100,87,1346,0.000000
100,88,1316,0.000000
100,89,1322,0.000000
100,90,1267,0.000000
100,91,1390,0.000000
100,92,1322,0.000000
100,93,1347,0.000000
100,94,1326,0.000000
100,95,1381,0.000000
100,96,1353,0.000000
100,97,1386,0.000000
100,98,1316,0.000000
100,99,1378,0.000000
100,100,2530,0.000000
100,101,2512,0.000000
100,102,2474,0.000000
100,103,2518,0.000000
100,104,2263,0.000000
100,105,2423,0.000000
100,106,2453,0.000000
100,107,2401,0.000000
100,108,2424,0.000000
100,109,2463,0.000000
100,110,2500,0.000000
100,111,2649,0.000000
100,112,2620,0.000000
100,113,2358,0.000000
100,114,2611,0.000000
100,115,2299,0.000000
100,116,2438,0.000000
100,117,2433,0.000000
100,118,2455,0.000000
100,119,2665,0.000000
100,120,2537,0.000000
100,121,2465,0.000000
100,122,2550,0.000000
100,123,2474,0.000000
100,124,2475,0.000000
100,125,2302,0.000000
100,126,2457,0.000000
100,127,2445,0.000000
100,128,2495,0.000000
200,1,1283,0.000000
200,2,1243,0.000000
200,3,1199,0.000000
200,4,1207,0.000000
200,5,1203,0.000000
200,6,1206,0.000000
200,7,1226,0.000000
200,8,1194,0.000000
200,9,1200,0.000000
200,10,1204,0.000000
200,11,1201,0.000000
200,12,1262,0.000000
200,13,1370,0.000000
200,14,1328,0.000000
200,15,1319,0.000000
200,16,1343,0.000000
200,17,1352,0.000000
200,18,1338,0.000000
200,19,1314,0.000000
200,20,1375,0.000000
200,21,1332,0.000000
200,22,1341,0.000000
200,23,1342,0.000000
200,24,1338,0.000000
200,25,1813,0.000000
200,26,1736,0.000000
200,27,1721,0.000000
200,28,1783,0.000000
200,29,1810,0.000000
200,30,1800,0.000000
200,31,1826,0.000000
200,32,1795,0.000000
200,33,1772,0.000000
200,34,1711,0.000000
200,35,1699,0.000000
200,36,1778,0.000000
200,37,1794,0.000000
200,38,1779,0.000000
200,39,1838,0.000000
200,40,1732,0.000000
200,41,1803,0.000000
200,42,1754,0.000000
200,43,1798,0.000000
200,44,1739,0.000000
200,45,1814,0.000000
200,46,1734,0.000000
200,47,1705,0.000000
200,48,1765,0.000000
200,49,1777,0.000000
200,50,2870,0.000000
200,51,2898,0.000000
200,52,2794,0.000000
200,53,2842,0.000000
200,54,2871,0.000000
200,55,2731,0.000000
200,56,2802,0.000000
200,57,2971,0.000000
200,58,2739,0.000000
200,59,2924,0.000000
200,60,2937,0.000000
200,61,2782,0.000000
200,62,2982,0.000000
200,63,2831,0.000000
200,64,2938,0.000000
200,65,2967,0.000000
200,66,2903,0.000000
200,67,2952,0.000000
200,68,2945,0.000000
200,69,2701,0.000000
200,70,2773,0.000000
200,71,2929,0.000000
200,72,2847,0.000000
200,73,2836,0.000000
200,74,2879,0.000000
200,75,2804,0.000000
200,76,2691,0.000000
200,77,2802,0.000000
200,78,2801,0.000000
200,79,2902,0.000000
200,80,2807,0.000000
200,81,2682,0.000000
200,82,2877,0.000000
200,83,2810,0.000000
200,84,2745,0.000000
200,85,2776,0.000000
200,86,2854,0.000000
200,87,2744,0.000000
200,88,2774,0.000000
200,89,2846,0.000000
200,90,2801,0.000000
200,91,2835,0.000000
200,92,2792,0.000000
200,93,2853,0.000000
200,94,2762,0.000000
200,95,2873,0.000000
200,96,2920,0.000000
200,97,2908,0.000000
200,98,2955,0.000000
200,99,2879,0.000000
200,100,5125,0.000000
200,101,5283,0.000000
200,102,4985,0.000000
200,103,5276,0.000000
200,104,5136,0.000000
200,105,5089,0.000000
200,106,5025,0.000000
200,107,5289,0.000000
200,108,5099,0.000000
200,109,5129,0.000000
200,110,5312,0.000000
200,111,5188,0.000000
200,112,5168,0.000000
200,113,5247,0.000000
200,114,5025,0.000000
200,115,5213,0.000000
200,116,4960,0.000000
200,117,4911,0.000000
200,118,5140,0.000000
200,119,5209,0.000000
200,120,5016,0.000000
200,121,5195,0.000000
